Age,Income,Education_Level,Credit_Score,Purchase_Amount,Satisfaction_Score,Product_Category,Region,Is_Returning_Customer,Website_Visit_Frequency,Time_on_Website_Minutes,Membership_Status,Churn,Spending_Score,Polynomial_Target,Education_Level_Code,Product_Category_Code,Region_Code,Membership_Status_Code
56,25903.30519613641,High School,656.3080326464542,171.12336412153522,10,Electronics,West,1,3,15.298325928232739,Gold,1,4577.982425742567,1243.6658227181963,0,0,3,2
69,53051.954538008344,Bachelor,679.277386456086,228.72417385556963,3,Sports,East,1,2,6.131086347931223,None,1,22104.00358119334,3267.187519736251,1,3,2,0
46,38654.73882073545,PhD,707.3142124001849,210.59428550655974,1,Sports,West,1,9,20.24673272798516,Platinum,1,11386.216055936198,2641.4800276666624,3,3,3,3
32,28666.19435603489,Master,680.3211134905468,40.207514014459946,1,Sports,North,0,5,14.027145512612357,Silver,1,13377.812002012144,2998.290872609389,2,3,0,1
60,40301.4067363621,High School,658.1807054736715,257.6155412473803,1,Electronics,North,0,6,8.503381991086052,Gold,1,17902.475953811696,184.41200069237289,0,0,0,2
25,33776.779945784074,PhD,674.5195098037085,216.15473790922158,8,Electronics,North,0,5,13.178225450567354,Gold,0,15003.61095192513,3047.8380041628316,3,0,0,2
38,75307.12452608848,PhD,675.5818520397332,238.12014797559422,3,Sports,South,1,6,12.08494125595486,None,0,40850.94203652816,2613.7263896373784,3,3,1,0
56,63224.59635424176,Bachelor,661.4994485058936,494.4678279827245,1,Sports,South,0,8,10.661306484293547,Platinum,0,32225.21030819317,1109.5061529658146,1,3,1,3
36,49880.41038025074,PhD,667.0601968666449,43.691529537605874,7,Home,West,1,2,19.06296351928799,None,0,27981.820673003018,1752.6747735208191,3,2,3,0
40,72199.16208335038,Bachelor,759.9323585252358,329.3522487320831,10,Sports,East,1,4,9.468375102164181,Gold,0,43311.33239091583,1066.413822287834,1,3,2,2
28,51160.524614714275,Master,708.045972397062,178.44143604497333,3,Clothing,East,0,1,15.92323079251601,None,0,36073.59193052839,1841.7912853901241,2,1,2,0
28,37080.73698007604,Bachelor,665.225984098542,221.5496678302257,8,Clothing,East,0,6,8.293409049695997,Platinum,0,17961.347902055037,2387.7554919613544,1,1,2,3
41,72846.86115904486,High School,714.8477202255368,196.58658160240682,4,Sports,South,1,8,14.815519534536431,Silver,0,38257.15719146128,3367.319568150886,0,3,1,1
53,58083.65065526988,Bachelor,663.3090255121995,168.18227499514674,4,Electronics,North,0,7,16.32711340623989,Gold,1,28408.030276139303,1076.4806466310365,1,0,0,2
57,34441.30768510315,High School,738.656231879332,157.2625303820931,5,Home,North,1,6,16.33669140043225,Platinum,1,21411.65091870014,1570.6837517977413,0,2,0,3
41,47144.91982874588,Bachelor,698.4821096099047,224.71315516797569,6,Electronics,South,0,4,15.404030693536196,None,0,27750.91047283015,860.1707787192593,1,0,1,0
20,36865.726199228644,PhD,674.6348927997885,86.21197274962407,7,Sports,East,0,3,13.804923751310398,Gold,0,15190.16837555308,2706.56340131346,3,3,2,2
39,29258.00403553496,Master,702.3858462905139,256.29343756413243,4,Clothing,East,0,6,9.679529242864499,None,0,12182.149291494128,381.5184922556007,2,1,2,0
19,63892.66321297462,High School,601.456192396575,168.78541963360595,8,Home,West,0,6,9.737241053265633,None,1,38996.56339292503,2118.1138624110545,0,2,3,0
41,78641.24960705196,Bachelor,623.6616265545098,115.24479957197316,6,Electronics,West,0,3,16.494144007059315,Silver,1,36634.774239661114,737.3120104483105,1,0,3,1
61,29021.486392712883,Bachelor,620.3037496800472,166.24903565031397,1,Electronics,East,1,1,8.692955814982106,None,0,12971.766468864826,2112.911934901269,1,0,2,0
47,58444.538550358564,Bachelor,687.1471547381853,294.28619126469295,1,Sports,South,0,8,7.546462861754776,None,1,32757.473820342882,3141.811725944232,1,3,1,0
55,40240.361463172594,PhD,766.6257499742546,159.84986847378326,9,Home,East,0,2,22.14884907956759,Platinum,0,19332.302624148357,1516.2372358753125,3,2,2,3
19,42693.11924352956,PhD,791.5650073096316,226.8840213657215,10,Clothing,West,0,5,13.701415514925246,None,0,29116.385516955765,2161.970040799389,3,1,3,0
38,41114.09113641696,High School,711.9025550720379,145.17827932133952,6,Sports,East,1,4,18.175073430356733,Silver,0,24802.575596257684,1061.2337893368453,0,3,2,1
50,37040.138454802756,High School,705.0422237472228,256.84413874427145,10,Home,South,1,6,19.367441064428366,None,0,13219.222218931534,1887.5691795653213,0,2,1,0
29,50727.82441917241,PhD,589.947113292363,251.41308040926532,8,Electronics,North,1,4,15.255634970657143,None,0,21516.379151987545,381.20040683058664,3,0,0,0
39,37535.748253834434,High School,652.866310013299,338.6456624972309,7,Sports,South,1,5,13.11611643570179,None,1,20805.6818329784,2664.8159067970932,0,3,1,0
61,54056.85238669758,Master,640.610812404588,186.83270408755885,6,Electronics,South,1,5,13.201073913478139,Gold,0,25868.30666542899,1651.63594941974,2,0,1,2
42,49246.42835826294,Master,648.9576200874442,250.14911035684298,4,Electronics,West,0,6,23.04015286134456,Silver,0,15040.419155318197,1757.5709515533279,2,0,3,1
66,46415.77929700386,PhD,671.5928090707605,207.35506546542084,7,Sports,South,0,3,12.20596084436021,Gold,0,18413.47528778269,2174.8040032353047,3,3,1,2
44,36386.545069376036,High School,656.3954711151437,297.19038363972606,9,Sports,South,0,5,15.88215922883485,Silver,0,19463.749020543546,6.8557546159620415,0,3,1,1
59,41348.43004147501,Bachelor,581.0350094812106,146.08757092934522,10,Sports,West,1,5,18.386595732995556,Silver,1,24226.958979298557,1360.867533224414,1,3,3,1
45,61330.86838738634,Master,717.3955128058767,255.87539846579608,10,Sports,West,1,4,16.253548889287085,Platinum,0,34269.669379628685,2112.7407412533375,2,3,3,3
33,57513.75781436571,PhD,626.3628487130097,185.39770279124886,7,Sports,North,0,4,20.42191815630403,Gold,0,38651.0636827036,1783.9802698644562,3,3,0,2
32,35336.67132802174,High School,691.9623432055574,195.18588671686268,1,Electronics,East,1,4,13.066919931686057,Silver,1,13291.030350783058,4119.745485793298,0,0,2,1
64,51489.98458143839,PhD,783.7041334874987,206.88143633362796,10,Clothing,South,1,4,18.366750947045354,Silver,0,21606.821391792448,3348.317621054075,3,1,1,1
68,61270.80685057683,Bachelor,634.0307704206789,218.9180297320008,9,Clothing,West,1,6,6.026956290787284,Platinum,0,29628.762671987566,2261.995024774993,1,1,3,3
61,24958.920783179423,Master,553.4856238626835,191.28282176585313,4,Sports,North,0,6,21.734577319349977,Gold,0,4219.592480484962,1044.6008682722263,2,3,0,2
69,58150.402885699026,PhD,665.6997889059944,216.10348873778946,3,Electronics,East,0,6,20.615750502408495,None,0,29179.825308844866,1636.1655844817235,3,0,2,0
20,40060.643615812296,PhD,735.0479817499286,318.35885431716383,4,Clothing,West,1,7,13.477870105975782,Platinum,1,18192.79755282793,2598.134892691318,3,1,3,3
54,58558.98002889739,PhD,777.9173727110297,273.9087264211414,4,Clothing,East,1,5,17.1941921837822,Silver,0,32338.07930707512,2098.2211350175007,3,1,2,1
68,38551.11265186225,Bachelor,618.5225202773792,265.1865944372672,10,Clothing,East,1,8,19.45532484731235,Gold,0,23243.159318736467,3398.504181985889,1,1,2,2
24,22926.768490032213,PhD,704.8349611618261,165.8345355482097,2,Electronics,South,1,4,9.811235360304146,Silver,1,12329.752055228415,2006.3034027240176,3,0,1,1
38,25586.86343175256,Bachelor,656.7344771609974,133.30693788287567,1,Sports,South,0,5,14.277369522186563,Platinum,0,12907.803570106054,2070.2341409546048,1,3,1,3
26,50721.27419992073,Bachelor,674.7025822847933,271.6475418678315,10,Sports,West,1,1,8.47125011379224,Platinum,0,26200.714307280174,3561.8121634124336,1,3,3,3
56,53895.83752582223,Bachelor,812.2171673508517,265.70350943973455,1,Sports,East,0,7,20.692082131801882,Gold,1,23123.779416881163,937.0359352669705,1,3,2,2
35,36435.25062343387,Master,604.8514835802423,310.45030068132365,8,Home,West,0,5,19.113803104145823,Platinum,0,17904.24086770448,3681.3575434182967,2,2,3,3
21,59578.88688166061,Master,692.6869830747287,154.70145305230778,2,Home,West,0,9,13.595255419260777,Platinum,1,30053.273535191525,2708.7328130471406,2,2,3,3
42,25077.1990659656,PhD,703.3846585882717,182.78385084797398,10,Home,East,1,5,13.015433504228056,None,0,11263.173478018336,5201.8702030852855,3,2,2,0
31,49008.80302029025,PhD,734.2893162469674,77.03868781059244,5,Electronics,West,0,8,14.255217195825265,Silver,1,23809.271660991035,1239.6676293295818,3,0,3,1
67,31834.75700356315,Master,684.8991576735448,170.56466704543453,4,Clothing,East,0,9,10.513713324620667,None,0,12991.032564030042,3743.3037701102353,2,1,2,0
26,40222.45838296761,High School,695.4025269752051,274.74278829345855,8,Clothing,East,1,5,14.129812118192568,None,0,14083.216145253551,2071.471875665793,0,1,2,0
43,50710.98006974621,Master,660.4175716289104,165.01284655788515,2,Electronics,East,1,9,9.811346110078816,Gold,1,23510.038751451844,1784.315799397514,2,0,2,2
19,37093.799520740715,Bachelor,693.4563470622554,248.03598464006177,10,Electronics,East,1,5,19.491655580894204,Platinum,0,20618.648067110247,2246.0022368011178,1,0,2,3
37,44231.66683655262,Master,662.8403862251295,185.71226705016414,9,Sports,North,0,6,20.684678532772974,Silver,1,13548.808618079127,2077.1147461120554,2,3,0,1
45,65094.39213821661,Bachelor,711.0785944928025,224.30427711661704,7,Sports,East,1,3,19.725964940063992,Silver,1,29120.787801856022,1198.5840487099729,1,3,2,1
64,41346.62195715277,PhD,661.5194831978183,113.92314576382495,7,Home,South,0,5,9.02900080256958,Silver,1,31118.791248051726,1957.9621328478802,3,2,1,1
24,62535.38168097712,High School,698.8550196951094,206.39070872254257,1,Home,South,0,5,13.957746108653485,Platinum,1,30402.80700177296,2244.706684672543,0,2,1,3
61,33054.397180135726,PhD,678.536859315751,-24.335197817554246,2,Electronics,South,1,8,17.92364545571269,Silver,0,16443.947352329596,1641.9443844182738,3,0,1,1
25,57947.06266872924,Bachelor,736.3025125386084,185.98278813785114,4,Home,East,0,7,18.843790186104563,Silver,1,38307.175402718785,2477.941487302528,1,2,2,1
64,71623.5293098685,Bachelor,677.4303138205756,77.71450672136449,4,Clothing,South,0,8,5.805675829761157,Platinum,0,37568.94101954325,1793.757585135126,1,1,1,3
52,12925.332498090662,Bachelor,591.3483765896559,290.4495887410112,3,Electronics,North,0,12,18.702448002052662,Gold,0,8414.008873607772,2468.7452985038144,1,0,0,2
31,38046.57116794285,High School,743.0960750356996,258.3055514573383,7,Electronics,West,0,2,8.783658956803555,Silver,1,14512.552213689516,2278.8161322308347,0,0,3,1
34,58656.081907708096,Master,634.713384956869,235.00032364745607,8,Clothing,East,1,6,14.230178096817752,Platinum,1,30012.15788506999,2396.9323657115037,2,1,2,3
53,46954.31920935511,PhD,647.311683067559,314.0754670369535,2,Sports,South,0,4,21.28743828794728,None,0,23483.17418123661,667.1861577917971,3,3,1,0
67,55567.188100569634,PhD,650.2169352978254,128.8312609381372,4,Sports,North,1,7,20.61035172448373,Platinum,1,31548.161521910675,3210.982808721943,3,3,0,3
57,40940.22219926269,Master,748.7219046585409,331.0522398436668,3,Clothing,West,0,4,21.630650948739024,None,0,26936.724923023587,1173.8614051870106,2,1,3,0
21,51298.8468120935,PhD,573.2162893010652,269.9143673195289,2,Clothing,North,0,4,9.668648143064493,Platinum,1,25880.982956284268,1753.2466048598046,3,1,0,3
19,47664.84146911881,High School,836.8874266829997,182.25835345857905,6,Home,South,1,3,10.903548572117904,Silver,0,24802.90049547946,1295.2595796279497,0,2,1,1
23,67516.73092489711,PhD,732.8028404533026,285.17151103872084,4,Electronics,North,0,6,12.185994787310001,Gold,0,24428.993706228168,2009.2484700111208,3,0,0,2
